Team,Record,BRRtg,TeamID,Season
wagner,13-13,-0.78,1447,2023
portland state,10-19,-0.78,1340,2023
manhattan,11-18,-0.8,1264,2023
umkc,10-20,-0.81,1282,2023
valparaiso,10-21,-0.82,1434,2023
southern,13-17,-0.82,1380,2023
dartmouth,8-18,-0.83,1171,2023
jackson state,14-19,-0.84,1238,2023
northern arizona,10-23,-0.84,1319,2023
louisiana-monroe,8-21,-0.84,1419,2023
north carolina a&t,10-19,-0.85,1299,2023
coastal carolina,8-20,-0.85,1157,2023
arkansas state,10-20,-0.85,1117,2023
northeastern,10-20,-0.86,1318,2023
texas southern,12-20,-0.87,1411,2023
stonehill,13-17,-0.89,0,2023
canisius,9-20,-0.89,1145,2023
etsu,10-20,-0.93,1190,2023
uc-san diego,8-20,-0.94,0,2023
sacred heart,15-17,-0.94,1357,2023
georgia state,7-21,-0.95,1209,2023
miami (oh),9-20,-0.96,1275,2023
lafayette,11-23,-0.98,1248,2023
alabama a&m,12-18,-0.99,1105,2023
loyola (md),11-20,-1,1259,2023
bowling green state,9-20,-1,1132,2023
prairie view,11-19,-1,1341,2023
texas a&m-commerce,12-20,-1.01,0,2023
cal state bakersfield,9-22,-1.01,1167,2023
nebraska-omaha,8-23,-1.03,1303,2023
central arkansas,8-22,-1.03,1146,2023
coppin state,9-23,-1.03,1164,2023
stony brook,9-22,-1.05,1392,2023
idaho state,9-21,-1.05,1226,2023
bucknell,11-20,-1.08,1137,2023
st. francis (ny),12-16,-1.11,1383,2023
louisville,4-28,-1.13,1257,2023
saint francis (pa),11-18,-1.16,1384,2023
new orleans,10-20,-1.16,1309,2023
mcneese state,10-23,-1.17,1270,2023
central michigan,8-21,-1.17,1141,2023
charleston southern,8-21,-1.17,1149,2023
citadel,9-22,-1.19,1154,2023
austin peay,6-22,-1.19,1122,2023
tulsa,5-25,-1.2,1409,2023
eastern michigan,7-23,-1.21,1185,2023
incarnate word,9-19,-1.22,1230,2023
bethune-cookman,10-20,-1.28,1126,2023
chicago state,7-20,-1.28,1152,2023
idaho,8-22,-1.29,1225,2023
monmouth,7-26,-1.3,1284,2023
arkansas-little rock,8-21,-1.3,1114,2023
hampton,7-24,-1.31,1214,2023
