Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
st. thomas,Sum,-1.79,107.8,109.6,66,-0.001,-4.38,103.3,107.7,-1.95,0,2023
detroit mercy,Horz,-1.88,111.6,113.5,67.2,-0.103,-3.25,104.1,107.3,4.53,1178,2023
drexel,CAA,-1.89,101.2,103.1,63.6,-0.074,-6.37,101.2,107.6,-1.53,1180,2023
st. bonaventure,A10,-2.01,101.2,103.2,65.6,-0.032,-1.01,104.5,105.5,-3.6,1382,2023
gardner webb,BSth,-2.57,99,101.6,66.2,-0.091,-4.02,103.7,107.7,1.64,1205,2023
rider,MAAC,-2.59,106.3,108.9,65.1,-0.039,-5.63,101.2,106.9,-2.6,1351,2023
queens,ASun,-2.61,107.2,109.8,70,0.003,-2.7,104.2,106.9,-3.59,0,2023
buffalo,MAC,-2.65,104.2,106.8,72.2,0.004,0.97,106.9,105.9,5.97,1138,2023
siena,MAAC,-2.65,102.3,105,66.9,-0.03,-5.38,101.5,106.9,-3.72,1373,2023
georgia southern,SB,-2.72,100.3,103.1,66.7,0.005,-1.71,105,106.7,-3.82,1204,2023
northern arizona,BSky,-2.76,108,110.8,66.8,-0.084,1.27,106.7,105.4,8.33,1319,2023
florida st.,ACC,-2.79,105.2,108,68.7,-0.022,6.01,109,103,3.18,1199,2023
bryant,AE,-2.83,105,107.8,72,0.004,-4.45,103.2,107.6,1.85,1136,2023
massachusetts,A10,-2.98,100.9,103.9,70.6,0.036,-0.36,104.4,104.8,-1.11,1269,2023
oregon st.,P12,-3.03,100.2,103.3,63.7,0.015,7.05,107.6,100.5,-6.51,1333,2023
rice,CUSA,-3.03,107.6,110.6,69.8,0.096,1.05,105.6,104.5,-6.13,1349,2023
north dakota st.,Sum,-3.03,104.6,107.7,68.1,0.007,-1.36,106.3,107.7,7.33,1295,2023
northwestern st.,Slnd,-3.16,106,109.2,66.6,0.085,-7.73,102.3,110.1,2.51,1322,2023
howard,MEAC,-3.23,103.7,106.9,68.9,0.096,-6.13,101.3,107.5,0.23,1224,2023
minnesota,B10,-3.24,102.5,105.8,65.8,0.03,8.88,108.8,99.9,-7.5,1278,2023
george washington,A10,-3.33,109.1,112.5,69,0.025,-1.77,103.3,105.1,-5.59,1203,2023
fiu,CUSA,-3.35,103,106.4,70.1,-0.003,0.18,105.7,105.6,-8.01,1198,2023
northern colorado,BSky,-3.38,107.7,111.1,69.6,-0.01,0.02,106.1,106.1,5.78,1294,2023
south carolina,SEC,-3.38,103.8,107.2,64.3,0.042,6.67,108.4,101.8,-3.06,1376,2023
northern iowa,MVC,-3.58,103.1,106.6,67.7,-0.018,-1.41,104.1,105.6,-1.71,1320,2023
san diego,WCC,-3.8,110.6,114.4,68.7,-0.03,2.91,107.5,104.6,-2.54,1360,2023
georgetown,BE,-4.31,104,108.3,68.9,-0.056,8.31,109.8,101.5,-5.26,1207,2023
sacramento st.,BSky,-4.32,104,108.3,62.4,0.012,-0.26,105.5,105.8,3.69,1170,2023
la salle,A10,-4.35,103.4,107.8,67.8,0.04,-1.11,104,105.1,-2.41,1247,2023
murray st.,MVC,-4.6,105.6,110.3,66.8,0.095,-1.1,104,105.1,-1.27,1293,2023
milwaukee,Horz,-4.66,103.1,107.7,72,0.131,-4.9,103.4,108.3,0.77,1454,2023
campbell,BSth,-4.77,105,109.8,64.3,-0.049,-4.66,102.5,107.2,-1.29,1144,2023
mercer,SC,-4.88,99.7,104.5,64.5,-0.085,-3.33,104.6,107.9,-2.16,1273,2023
north florida,ASun,-4.91,109.9,114.8,68,0.012,-1.33,105.6,107,5.92,1316,2023
wofford,SC,-4.96,108.9,113.8,65.1,0.023,-2.8,104.1,106.9,-1.12,1459,2023
jacksonville st.,ASun,-5.21,102.3,107.5,65.7,-0.044,-1.36,105.3,106.7,1.89,1240,2023
jacksonville,ASun,-5.38,100.3,105.7,61.1,-0.009,-0.48,106.3,106.8,6.76,1239,2023
western carolina,SC,-5.39,103.1,108.4,67.4,0.051,-3.64,104,107.7,-3.84,1441,2023
portland st.,BSky,-5.44,103.1,108.5,72.4,0.008,0.26,106.3,106,5.49,1340,2023
delaware,CAA,-5.45,102.6,108,67.1,0.042,-3.64,103.6,107.2,-0.66,1174,2023
robert morris,Horz,-5.54,99.2,104.7,66.3,-0.041,-5.66,102.9,108.6,-1.87,1352,2023
purdue fort wayne,Horz,-5.88,100.8,106.7,69.1,0.023,-4.85,103.7,108.5,-1.52,1236,2023
ut arlington,WAC,-6.09,99.9,106,65.9,0.011,3.44,105.9,102.5,4.67,1426,2023
idaho st.,BSky,-6.13,102.4,108.5,65.2,-0.084,-1.96,105.3,107.2,-1.78,1226,2023
alcorn st.,SWAC,-6.17,102.1,108.3,67.3,0.139,-5.38,99.6,105,8.82,1108,2023
siu edwardsville,OVC,-6.26,100,106.3,69.2,-0.012,-8.12,101.8,110,-1.09,1188,2023
east tennessee st.,SC,-6.3,101.2,107.5,65.8,-0.111,-4.26,104.1,108.3,-4.6,1190,2023
northern illinois,MAC,-6.36,100.9,107.3,69.2,-0.016,-1.85,105.2,107,3.08,1296,2023
ut rio grande valley,WAC,-6.39,104,110.4,72.7,0.07,0.05,105.3,105.3,-4.8,0,2023
morehead st.,OVC,-6.6,100.4,107,63.2,0.143,-6.97,102.1,109.1,4.76,1287,2023
winthrop,BSth,-6.62,108.6,115.2,66.9,0.032,-3.34,103.7,107,2.43,1457,2023
