Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
wake forest,ACC,0.5785,103.9,101.1,68.6,-0.025,0.6762,106.3,99.7,0.4411,1448,2015
north florida,ASun,0.578,105.7,102.8,67.1,-0.007,0.3614,100.3,105.4,0.5662,1316,2015
stony brook,AE,0.5754,99.9,97.3,64.3,0.036,0.4087,99.7,103,0.6025,1392,2015
louisiana lafayette,SB,0.5707,103.6,101.1,69.8,-0.064,0.4193,99.8,102.7,0.4934,0,2015
william & mary,CAA,0.5691,111.4,108.7,64.2,-0.009,0.4852,101.8,102.4,0.6608,1456,2015
albany,AE,0.5686,104.2,101.7,61.3,0.06,0.3488,98.4,103.9,0.5218,1107,2015
nebraska,B10,0.5679,96.4,94.1,63.6,-0.018,0.6694,106.5,100.2,0.4018,1304,2015
evansville,MVC,0.5677,102.4,100,66,0.017,0.5,101.8,101.8,0.3708,1191,2015
eastern michigan,MAC,0.5665,100.2,97.9,66.1,0.014,0.5069,104.3,104,0.4325,1185,2015
massachusetts,A10,0.5627,103.8,101.6,67.6,0.069,0.6334,104,99.2,0.6517,1269,2015
eastern washington,BSky,0.5618,110,107.7,68.8,0.074,0.4044,102.4,105.9,0.5972,1186,2015
long beach st.,BW,0.556,101,99,65.4,0.031,0.6605,105.2,99.3,0.8187,1253,2015
western kentucky,CUSA,0.556,102.6,100.6,66.6,0.04,0.4832,101.4,102,0.5633,1443,2015
high point,BSth,0.5554,106.2,104.2,62.5,0.118,0.4215,102.1,104.9,0.6029,1219,2015
western michigan,MAC,0.5516,106.2,104.4,64.8,0.044,0.5195,103.2,102.5,0.4379,1444,2015
new mexico,MWC,0.551,98.9,97.2,62.5,-0.068,0.5126,102.3,101.8,0.4031,1307,2015
auburn,SEC,0.5484,103.5,101.7,68,0.058,0.7036,105.1,97.5,0.5367,1120,2015
middle tennessee,CUSA,0.5474,100.6,98.9,61.6,0.006,0.4938,102,102.2,0.5287,1292,2015
loyola chicago,MVC,0.5428,103.2,101.6,60.7,0.042,0.538,102.4,101,0.4369,1260,2015
manhattan,MAAC,0.5411,100.9,99.5,68.2,0.005,0.4064,100.2,103.6,0.4726,1264,2015
san francisco,WCC,0.541,103.1,101.7,65.9,-0.082,0.5661,104.7,102.3,0.3993,1362,2015
georgia southern,SB,0.5403,97.7,96.3,63.3,0.022,0.3821,99.2,103.5,0.3147,1204,2015
coastal carolina,BSth,0.5371,103.5,102.2,64.4,0.006,0.3445,100.4,106.1,0.4842,1157,2015
belmont,OVC,0.5363,107.9,106.5,67.1,0.071,0.4101,100.4,103.6,0.4852,1125,2015
princeton,Ivy,0.5358,105.9,104.6,65.4,-0.032,0.4304,100,102.5,0.3879,1343,2015
north dakota st.,Sum,0.5258,101,100.1,61.2,0.117,0.3857,100.6,104.8,0.3997,1295,2015
st. francis ny,NEC,0.524,101.1,100.3,64.3,-0.016,0.3194,98.2,104.8,0.408,0,2015
charlotte,CUSA,0.5202,107.5,106.8,67.5,-0.104,0.5165,101.6,101,0.593,1150,2015
usc,P12,0.5194,98.6,97.9,68.7,-0.006,0.632,104.8,100,0.3784,1425,2015
oakland,Horz,0.5171,108.6,108,66.6,0.03,0.583,104.2,101.2,0.7208,1324,2015
texas tech,B12,0.5166,100.4,99.9,61.9,-0.017,0.6602,105.2,99.3,0.263,1403,2015
cal poly,BW,0.5097,100.5,100.2,58.9,-0.056,0.5635,103.8,101.5,0.6643,1142,2015
chattanooga,SC,0.5041,103.5,103.3,65,0.101,0.3839,101.2,105.4,0.5421,1151,2015
rider,MAAC,0.5034,99.1,98.9,64.7,0.102,0.4077,100,103.3,0.4575,1351,2015
dartmouth,Ivy,0.5026,100.3,100.2,63.6,-0.025,0.4478,100.4,102.2,0.4132,1171,2015
saint joseph's,A10,0.5025,98,97.9,64.3,-0.006,0.5809,102.7,99.8,0.5076,1386,2015
montana,BSky,0.5011,103.7,103.7,62.1,-0.002,0.3852,102.3,106.5,0.6364,1285,2015
depaul,BE,0.4984,105,105,67,-0.001,0.6749,105.9,99.3,0.4152,1177,2015
morehead st.,OVC,0.4961,101.8,101.9,66.2,-0.093,0.4453,101.9,103.9,0.5492,1287,2015
unc wilmington,CAA,0.4899,99.1,99.4,67.7,0.062,0.4655,102.6,103.9,0.5834,1423,2015
winthrop,BSth,0.483,103,103.6,66,-0.051,0.3493,99.7,105.2,0.4287,1457,2015
northern illinois,MAC,0.4819,101.4,102.1,62.9,0.005,0.5244,103.8,102.9,0.4215,1296,2015
njit,ind,0.4784,101.4,102.2,66.3,0.03,0.4229,100.8,103.6,0.4229,1312,2015
mississippi st.,SEC,0.4739,98,98.9,64.4,-0.034,0.5895,103.9,100.7,0.296,1280,2015
columbia,Ivy,0.4722,105.5,106.6,60.9,-0.09,0.4776,100.8,101.6,0.4672,1162,2015
ipfw,Sum,0.4659,105.5,106.8,64.5,-0.039,0.4206,100.4,103.2,0.5149,1236,2015
indiana st.,MVC,0.4643,100.1,101.3,67.6,0.015,0.5072,101.3,101.1,0.3898,1232,2015
robert morris,NEC,0.4631,101,102.3,65.6,0.037,0.386,100.6,104.7,0.5771,1352,2015
louisiana monroe,SB,0.4619,95.8,97.1,61.1,0.069,0.4317,100.6,103.1,0.5776,0,2015
new hampshire,AE,0.4619,98.6,99.9,64,-0.017,0.336,98.4,104.4,0.4353,1306,2015
colgate,Pat,0.4612,106.4,107.8,61.1,-0.055,0.423,101.1,103.8,0.5835,1159,2015
tennessee martin,OVC,0.4601,106.2,107.7,61.7,0.025,0.4232,100.5,103.3,0.4954,0,2015
usc upstate,ASun,0.4596,102.3,103.7,63.6,-0.033,0.2913,98.3,106.2,0.3112,1367,2015
florida gulf coast,ASun,0.4557,99.8,101.4,64.4,0.058,0.3636,101.1,106.2,0.5365,1195,2015
quinnipiac,MAAC,0.4518,100.2,101.9,67.2,-0.091,0.3704,98.8,103.5,0.3605,1346,2015
mercer,SC,0.4494,101.9,103.8,60.5,-0.05,0.3813,100.8,105.1,0.5419,1273,2015
radford,BSth,0.4454,104.2,106.2,64.7,0.077,0.3923,101,104.9,0.5247,1347,2015
monmouth,MAAC,0.445,98.4,100.3,64.2,0.013,0.4169,100.3,103.3,0.4534,1284,2015
canisius,MAAC,0.4444,99.5,101.4,63.1,-0.036,0.4228,99.8,102.6,0.5077,1145,2015
american,Pat,0.4418,101.2,103.3,57.6,0.015,0.4473,101.7,103.6,0.5674,1110,2015
detroit,Horz,0.4418,101.4,103.5,68,-0.008,0.5307,104,102.9,0.6075,1178,2015
charleston southern,BSth,0.4416,105.5,107.7,65.7,0.064,0.3825,101,105.3,0.5723,1149,2015
virginia tech,ACC,0.4415,103.9,106.1,63.8,-0.043,0.6114,104.7,100.6,0.2767,1439,2015
santa clara,WCC,0.4414,103.5,105.6,61.9,0.019,0.5982,105.1,101.5,0.4979,1365,2015
northern arizona,BSky,0.4364,100.3,102.6,64.6,0.04,0.405,102.7,106.2,0.5957,1319,2015
washington st.,P12,0.4361,107.2,109.6,67.5,0.085,0.6498,105.2,99.7,0.4717,1450,2015
saint peter's,MAAC,0.4337,97.6,99.9,60.7,-0.067,0.3931,99.5,103.3,0.4001,1389,2015
fresno st.,MWC,0.4309,100.7,103.1,65.5,0.067,0.537,101.5,100.2,0.4917,1201,2015
maryland eastern shore,MEAC,0.43,103.5,106,65.4,0.053,0.3696,99.1,103.8,0.6035,0,2015
lafayette,Pat,0.4285,110.4,113.2,65,0.078,0.4071,101.2,104.5,0.5367,1248,2015
miami oh,MAC,0.425,100.8,103.5,65.3,0.009,0.5064,102.6,102.4,0.3712,1275,2015
norfolk st.,MEAC,0.4237,102.5,105.3,65,0.04,0.3737,99.2,103.8,0.6859,1313,2015
sacramento st.,BSky,0.4234,106.5,109.4,62.3,0.083,0.3544,101.4,106.8,0.4342,1170,2015
