Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
uc santa barbara,BW,3.56,105.6,102,65.5,-0.084,-4.86,99.8,104.6,-10.25,1364,2022
akron,MAC,3.49,106.2,102.7,62.1,0.026,-5.24,100.8,106,-4.18,1103,2022
boston college,ACC,3.48,104,100.5,64.8,-0.08,4.8,105.7,100.9,-6.89,1130,2022
hofstra,CAA,3.34,108.7,105.4,68.9,0.06,-0.14,104,104.1,5.43,1220,2022
seattle,WAC,3.12,100.2,97,70.4,0.043,-5.26,100.4,105.7,-9.48,1370,2022
rhode island,A10,3.04,99.3,96.3,67.2,-0.089,0.83,104,103.2,-3,1348,2022
missouri,SEC,3.04,104.1,101.1,65.5,-0.02,10.65,107.7,97,2.38,1281,2022
texas st.,SB,2.99,105.8,102.8,63.7,0.136,-3.27,101,104.2,-1.31,1402,2022
nebraska,B10,2.94,105.9,103,71,-0.057,8.92,108.3,99.4,-3.1,1304,2022
south alabama,SB,2.7,103.8,101.1,66.5,-0.05,-2.69,100.4,103.1,-1.07,1375,2022
sam houston st.,WAC,2.64,101.1,98.5,64.7,-0.004,-0.47,102,102.4,3.98,1358,2022
california,P12,2.63,100.7,98.1,64,-0.048,6.58,106.3,99.7,-1.99,1143,2022
louisville,ACC,2.57,102.6,100,67,0.001,6.78,107.5,100.7,1.8,1257,2022
n.c. state,ACC,2.55,109.1,106.5,66.9,-0.076,6,107,101,-3,1301,2022
longwood,BSth,2.48,106.1,103.6,66,0.095,-8.28,98.4,106.7,-6.92,1255,2022
delaware,CAA,2.28,106.8,104.6,66.6,0.023,-2.57,101.8,104.4,-3.61,1174,2022
jacksonville st.,ASun,2.24,105.3,103.1,65.1,-0.021,-5.15,100.6,105.8,0.23,1240,2022
yale,Ivy,2.23,101.5,99.2,68.7,0.061,-2.1,102.9,105,0.65,1463,2022
north dakota st.,Sum,2.14,103.4,101.2,66.3,0.101,-4.55,103.5,108,-1.11,1295,2022
cal st. fullerton,BW,2.1,104.7,102.6,66,0.038,-2.94,100.5,103.5,-3.03,1168,2022
kent st.,MAC,1.91,101.5,99.5,65.8,0.071,-3.34,102.6,105.9,0.36,1245,2022
georgia st.,SB,1.84,101.5,99.7,67.1,0.062,-1.29,101.1,102.4,2.05,1209,2022
wagner,NEC,1.67,102.2,100.5,66.4,0.081,-9.17,97.9,107.1,1.56,1447,2022
long beach st.,BW,1.61,103.8,102.2,70.7,0.11,0.14,102.7,102.5,7.22,1253,2022
charleston,CAA,1.51,104.6,103.1,73.4,-0.035,-1.25,102.9,104.2,1.09,1158,2022
new mexico,MWC,1.44,107.1,105.7,70.9,-0.04,5.68,105.5,99.8,2.14,1307,2022
appalachian st.,SB,1.23,101.7,100.5,64.1,0.026,-0.1,103.1,103.2,6.64,1111,2022
drexel,CAA,0.92,104.5,103.6,66.3,-0.063,-1.39,103.2,104.6,1.16,1180,2022
coastal carolina,SB,0.87,103.2,102.3,66,-0.097,-2.2,101.2,103.4,1.47,1157,2022
oral roberts,Sum,0.87,109.8,109,70.2,-0.027,-3.98,103.3,107.2,3.25,1331,2022
hawaii,BW,0.57,102,101.4,65.1,-0.01,-3.66,100.4,104.1,-4.69,1218,2022
vmi,SC,0.47,110.8,110.3,68.4,-0.038,-0.11,104,104.1,-0.89,1440,2022
winthrop,BSth,0.41,105.9,105.5,68.2,0.115,-3.15,100.8,104,6.15,1457,2022
saint joseph's,A10,0.4,100.5,100.1,67.9,-0.085,1.9,103.5,101.6,-1.78,1386,2022
utep,CUSA,0.36,100.8,100.5,66.5,0.053,-0.77,102.7,103.4,-1.33,1431,2022
jacksonville,ASun,0.29,100.4,100.1,61.4,0.047,-5.29,101.8,107,-3.63,1239,2022
monmouth,MAAC,0.27,102.4,102.1,66.1,0.076,-1.15,101.9,103,3.85,1284,2022
georgia tech,ACC,0.22,100,99.8,67.9,-0.021,5.65,107,101.3,-5.92,1210,2022
norfolk st.,MEAC,0.15,102.4,102.3,66.9,0.095,-10.62,95.3,105.9,-4.18,1313,2022
uc riverside,BW,-0.1,100.8,100.9,65.2,0.004,-1.99,100.4,102.4,3.5,1415,2022
southern utah,BSky,-0.14,106.2,106.3,68.4,0.033,-5.73,100.5,106.3,1.97,1381,2022
gardner webb,BSth,-0.22,96.6,96.8,67.4,-0.029,-4.28,101.6,105.8,3.12,1205,2022
weber st.,BSky,-0.26,103.7,104,69.4,0.023,-5.53,101.3,106.8,0.12,1451,2022
tulsa,Amer,-0.28,103.8,104.1,66.4,-0.066,3.06,103.8,100.7,-5.56,1409,2022
unc greensboro,SC,-0.37,100.4,100.8,62.1,0.051,-1.05,104.7,105.8,-3.13,1422,2022
portland,WCC,-0.39,103.1,103.5,68.8,0.054,-0.9,102.6,103.5,-5.95,1339,2022
georgetown,BE,-0.54,104.9,105.5,69.9,-0.11,8.6,106.9,98.3,-1.97,1207,2022
fordham,A10,-0.64,94.7,95.3,67.5,0.017,-0.56,104,104.6,-7.38,1200,2022
unc wilmington,CAA,-0.65,102.8,103.5,65.2,0.155,-3.26,101.7,104.9,-5.38,1423,2022
arkansas st.,SB,-0.77,100.2,101,68.2,0.065,-2.72,101.4,104.1,-5.28,1117,2022
troy,SB,-0.8,99.1,99.9,66.7,0.089,-2.47,101.5,104,-3.85,1407,2022
louisiana,SB,-0.81,101.8,102.7,69.5,-0.022,-2.01,100.9,102.9,-1.64,1418,2022
wright st.,Horz,-0.87,106.4,107.2,68.4,-0.001,-7.41,100,107.4,-0.04,1460,2022
bryant,NEC,-0.95,104.2,105.2,72.2,0.126,-8.59,98.1,106.7,0.05,1136,2022
samford,SC,-1.05,105.2,106.3,69,0.162,-0.56,104.6,105.2,-3.62,1359,2022
east carolina,Amer,-1.08,102.8,103.9,67.5,0.074,1.19,102.4,101.2,-8.06,1187,2022
illinois st.,MVC,-1.2,105.3,106.5,67.9,-0.103,0.97,103.6,102.6,-5.24,1229,2022
east tennessee st.,SC,-1.21,108,109.2,65.2,0.021,1.41,105.4,104,4.64,1190,2022
texas southern,SWAC,-1.33,98.1,99.4,67.7,0.006,-6.77,98.5,105.3,10.51,1411,2022
massachusetts,A10,-1.36,112,113.3,68.9,0.052,1.37,102.2,100.8,-2.38,1269,2022
navy,Pat,-1.37,95.4,96.7,64.6,0.037,-6.75,100.5,107.3,3.51,1298,2022
oakland,Horz,-1.39,103.1,104.5,67.3,0.022,-4.44,101.7,106.1,8.87,1324,2022
cornell,Ivy,-1.74,103.6,105.4,71.6,0.041,-2.7,102.1,104.9,-1.68,1165,2022
old dominion,CUSA,-1.76,101.1,102.9,64.2,-0.078,-0.16,103.1,103.3,-1.05,1330,2022
mercer,SC,-1.81,105.8,107.6,64.6,0.023,0.66,105.3,104.6,1.67,1273,2022
