School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,Season,TeamID
southeast missouri state,36,19,17,0.528,-7.22,-6.63,2789,2734,73.8,103.2,0.378,0.399,0.54,49.2,51.9,9.3,8.6,2023,1369
southeastern louisiana,32,18,14,0.563,-7.72,-6.45,2483,2432,70.4,108.1,0.317,0.346,0.556,49.4,51,10.1,5.3,2023,1368
southern,32,15,17,0.469,-8.18,-6.12,2300,2280,72.9,97.8,0.335,0.394,0.53,47.7,56.1,11.8,7.4,2023,1380
southern california,32,22,10,0.688,13.65,8.12,2329,2152,68.4,106,0.338,0.33,0.551,49.6,51.7,10.2,13.7,2023,1425
southern illinois,33,23,10,0.697,1.52,-1.76,2168,2026,64.8,101,0.299,0.463,0.553,49.4,59.7,11.1,6,2023,1356
siu edwardsville,33,19,14,0.576,-6.34,-7.41,2463,2353,70.7,105.5,0.4,0.375,0.54,51.1,48.8,9.8,11.4,2023,1188
southern indiana,32,16,16,0.5,-8.3,-7.37,2448,2370,70.8,106.9,0.33,0.427,0.544,53.3,48.8,10.2,6.9,2023,0
southern methodist,32,10,22,0.313,0.28,5.59,2248,2418,70.6,98,0.33,0.337,0.506,48.2,53.8,9.9,9,2023,1374
southern mississippi,33,25,8,0.758,3.44,-1.43,2436,2182,68.9,107.1,0.321,0.369,0.546,51.8,55.4,12.1,7.5,2023,1379
southern utah,34,22,12,0.647,3.76,2.16,2812,2529,73.7,110.6,0.389,0.384,0.57,52.8,45.6,9.9,8.8,2023,1381
st. bonaventure,32,14,18,0.438,-1.12,-0.22,2136,2165,66.7,99.3,0.295,0.362,0.522,48.7,49.4,10.4,10.4,2023,1382
st. francis (ny),30,14,16,0.467,-17.05,-11.73,1946,2034,67.1,96.3,0.308,0.339,0.499,49.1,53.6,11,11.8,2023,1383
st. john's (ny),33,18,15,0.545,8.51,6.36,2552,2481,73.8,103.3,0.277,0.27,0.522,52.9,51.5,11,10,2023,1385
st. thomas,33,19,14,0.576,-2.72,-4.27,2447,2316,67,110.7,0.307,0.445,0.564,48.1,50.3,8.9,6.5,2023,0
stanford,33,14,19,0.424,9.94,7.97,2321,2256,66.1,106.4,0.294,0.397,0.55,52.2,58.5,8.6,9.8,2023,1390
stephen f. austin,32,19,13,0.594,0.92,-0.5,2427,2238,70.9,104.9,0.373,0.29,0.562,50.8,55.6,12.3,7.6,2023,1372
stetson,30,17,13,0.567,-2.5,-2.5,2298,2200,65.5,114.5,0.245,0.436,0.577,50.9,50.4,7.6,8.8,2023,1391
stonehill,31,14,17,0.452,-13.3,-9.04,2076,2157,67.5,98,0.321,0.415,0.552,46.1,52.8,10.3,8.1,2023,0
stony brook,33,11,22,0.333,-12.38,-4.06,2083,2279,65.1,96.7,0.287,0.452,0.522,49.1,53.6,6.7,7.6,2023,1392
syracuse,32,17,15,0.531,5.38,4.16,2372,2333,68.3,107.7,0.306,0.29,0.55,49,52.7,10.9,15.7,2023,1393
tarleton state,33,17,16,0.515,-0.47,2.02,2376,2236,69.3,103.5,0.45,0.257,0.539,48.7,51.9,14,10,2023,0
tcu,33,21,12,0.636,16.21,8.93,2481,2241,70.8,105.7,0.339,0.294,0.534,50.8,58.6,11.6,12.5,2023,1395
temple,32,16,16,0.5,4.94,5.56,2227,2247,67.1,101.7,0.346,0.436,0.539,50.4,58.5,7.3,10.3,2023,1396
tennessee,33,23,10,0.697,21.9,8.14,2369,1915,66.2,108,0.309,0.404,0.535,54.9,66.2,12.4,11.8,2023,1397
tennessee state,32,18,14,0.563,-8.84,-8.77,2499,2401,72.8,107.3,0.359,0.416,0.552,50.3,49.2,8,9,2023,1398
tennessee tech,33,16,17,0.485,-9.25,-6.22,2432,2421,69.3,103.5,0.29,0.421,0.543,48.4,55.3,8.8,6.5,2023,1399
tennessee-martin,33,19,14,0.576,-8.52,-7.76,2658,2489,73.5,108.3,0.345,0.375,0.555,51.3,47.6,10.1,9.2,2023,1404
