School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,eFGPct,TOVPct,ORBPct,FT/FGA,Season,TeamID
hampton,33,16,17,0.485,-9.07,-8.22,2216,2244,69.1,96.8,0.434,0.333,0.497,50.6,46.5,9.6,11,0.458,17.6,32.8,0.283,2015,1214
hartford,30,14,16,0.467,-8.32,-4.91,1858,1924,63.4,96.5,0.299,0.452,0.51,47.2,56.1,9.7,5.5,0.478,16.8,25.7,0.209,2015,1216
harvard,29,22,7,0.759,4.21,-0.75,1861,1660,61.2,103,0.395,0.267,0.525,52.8,57.5,11.3,12.2,0.483,16.3,32.7,0.281,2015,1217
hawaii,35,22,13,0.629,2.91,-0.57,2551,2387,69.8,103.6,0.371,0.342,0.528,49.3,51.5,13.7,10.3,0.493,16.3,33.1,0.254,2015,1218
high point,31,22,9,0.71,-2.62,-4.73,2272,2101,63.6,110.7,0.349,0.294,0.568,50.3,56.2,9.7,7.5,0.534,15,30.6,0.255,2015,1219
hofstra,33,20,13,0.606,4.21,-4.4,2587,2303,69.1,112.6,0.399,0.413,0.559,51.8,58.3,10.8,7.8,0.525,13.9,32.7,0.278,2015,1220
holy cross,30,14,16,0.467,-6.07,-3.65,1981,2020,63.6,102.1,0.346,0.339,0.518,48.7,48.3,11.7,13.2,0.479,14.8,29.8,0.247,2015,1221
houston baptist,28,12,16,0.429,-12.93,-5.39,2028,2063,69.3,104,0.383,0.25,0.538,54.6,47.8,8.5,9.6,0.497,18.7,38.4,0.278,2015,1223
houston,32,13,19,0.406,-1.86,-0.71,2060,2097,63.9,99.2,0.32,0.451,0.498,49.2,53.3,8.9,12.3,0.465,17.2,33.6,0.218,2015,1222
howard,32,16,16,0.5,-9.8,-7.76,2032,2004,64.8,96.4,0.435,0.309,0.519,51.2,38.8,11.5,11.6,0.475,21.1,34.2,0.304,2015,1224
idaho state,30,7,23,0.233,-11.54,-5.47,1937,2075,64,100.5,0.378,0.264,0.517,48.7,48.2,10.7,6.6,0.487,16.1,29.9,0.246,2015,1226
idaho,30,13,17,0.433,-5.77,-4.8,2301,2269,68.2,110.7,0.372,0.331,0.566,52.9,50.3,6.7,4.9,0.535,15.2,31.2,0.264,2015,1225
illinois-chicago,34,10,24,0.294,-7.72,-0.22,2201,2389,64.9,99.5,0.398,0.336,0.495,49.5,57,9.3,7.4,0.442,14.6,31.1,0.294,2015,1227
illinois state,33,21,12,0.636,7.47,2.44,2267,2064,64.1,106,0.339,0.316,0.53,53.3,48,11.2,11.3,0.494,16.7,37.1,0.243,2015,1229
illinois,32,19,13,0.594,13.41,7.1,2223,2021,65.1,105.9,0.317,0.352,0.526,50.4,49.5,9.6,8.6,0.479,13.2,29.9,0.251,2015,1228
incarnate word,28,18,10,0.643,-5.56,-6.52,2230,2097,69.6,111.5,0.463,0.329,0.576,48.4,49.1,11.1,11.7,0.533,14.1,27,0.34,2015,1230
indiana state,31,15,16,0.484,-0.58,1.12,2060,2101,66,98.6,0.421,0.394,0.536,48.2,58.4,8.4,10.1,0.496,18.7,26.5,0.295,2015,1232
indiana,33,20,13,0.606,13.38,7.32,2557,2357,66.9,115.4,0.327,0.396,0.573,52.3,51.5,7.5,9,0.546,14.7,35.3,0.234,2015,1231
iona,34,26,8,0.765,4.12,-2.68,2707,2476,70.4,112.7,0.371,0.427,0.581,48.8,60.5,9.2,11.2,0.553,15.3,28.4,0.261,2015,1233
iowa state,33,25,8,0.758,19.16,10.07,2586,2286,69.8,112.2,0.374,0.368,0.575,50.9,58.3,9.1,10.3,0.547,14.1,28.5,0.26,2015,1235
iowa,32,21,11,0.656,15.82,8.29,2221,1980,64.4,107,0.396,0.307,0.526,52.9,60.7,10.2,12.2,0.478,14.8,35.8,0.295,2015,1234
ipfw,30,16,14,0.533,-3.21,-3.69,2094,1999,65.1,107.2,0.406,0.383,0.568,50.5,58.5,8.8,9,0.539,16.2,25.6,0.278,2015,1236
iupui,31,10,21,0.323,-8.35,-1.99,1883,2080,64,92.3,0.328,0.262,0.502,50.8,50.3,10.7,5.4,0.465,20.6,31.1,0.23,2015,1237
jackson state,32,11,21,0.344,-12.24,-9.4,1941,2032,64.9,92.8,0.329,0.308,0.463,53.2,46.2,9.7,6.5,0.429,18.1,37.7,0.213,2015,1238
jacksonville state,31,12,19,0.387,-12.73,-4.59,1939,2126,64.8,95.3,0.383,0.352,0.483,47.3,57.3,9.4,11.7,0.434,16,30,0.274,2015,1240
jacksonville,32,10,22,0.313,-16.4,-6.16,2058,2303,65.1,97.2,0.4,0.331,0.506,46.9,48.6,9.8,6.9,0.47,16.4,28.1,0.265,2015,1239
james madison,32,19,13,0.594,-2.38,-1.25,2145,2181,64.3,103.8,0.436,0.367,0.556,49.5,55.7,9.9,7.7,0.518,18.1,28.7,0.307,2015,1241
kansas state,32,15,17,0.469,9.18,9.99,2016,2042,63.1,99.5,0.46,0.264,0.519,51.2,60.4,9.6,6.3,0.477,18.1,33.9,0.311,2015,1243
kansas,34,26,8,0.765,19.56,13.03,2421,2199,66.8,106.2,0.43,0.283,0.538,52.5,54.9,9.7,12.8,0.493,16.4,34.9,0.31,2015,1242
kennesaw state,32,10,22,0.313,-17.01,-4.78,2027,2363,66.8,94.8,0.292,0.372,0.501,47.7,46.2,8.1,9.9,0.464,18.5,30,0.214,2015,1244
kent state,32,21,11,0.656,2.52,-0.26,2103,2007,62.2,104.4,0.394,0.371,0.523,51.1,46.6,8.1,11.9,0.493,15.4,33.6,0.254,2015,1245
kentucky,34,34,0,1,29.45,8.51,2547,1835,63.9,116,0.438,0.281,0.56,55.4,56.6,10.2,17.3,0.518,13.8,40.4,0.316,2015,1246
la salle,33,17,16,0.515,5.11,4.17,2086,2055,64.3,96.8,0.364,0.294,0.506,49.6,53.9,9.8,9.7,0.467,17.4,29.6,0.253,2015,1247
lafayette,32,20,12,0.625,-2.66,-3.73,2374,2316,64.9,113.9,0.311,0.357,0.593,48.4,58.6,8.6,7.3,0.562,15,28.4,0.238,2015,1248
lamar,30,15,15,0.5,-9.49,-5.02,2146,2132,68.8,103.5,0.423,0.321,0.539,51.8,52.3,10.8,10.2,0.503,19.1,36.1,0.288,2015,1249
lehigh,30,16,14,0.533,-2.8,-3.35,2042,2000,66.3,101.4,0.362,0.29,0.531,51,59.3,8.3,8.3,0.491,17.1,29.6,0.262,2015,1250
liberty,32,8,24,0.25,-16.02,-6.45,2045,2222,66.7,95.4,0.392,0.285,0.52,51.3,49.9,8.2,7.3,0.479,21.2,32.4,0.276,2015,1251
lipscomb,31,14,17,0.452,-10.53,-4.85,2232,2322,69.2,102.9,0.404,0.435,0.529,49.6,58.3,8.1,6.1,0.49,16.5,29.9,0.281,2015,1252
long beach state,33,16,17,0.485,1.96,4.48,2188,2221,65.8,100,0.353,0.371,0.518,48.9,48.5,9.9,6.9,0.484,17.6,32,0.241,2015,1253
long island university,30,12,18,0.4,-8.92,-5.15,2022,2135,68.1,96.5,0.398,0.348,0.493,49.5,51.1,8.2,6.7,0.449,16.8,31.3,0.274,2015,1254
longwood,34,11,23,0.324,-12.98,-5.55,2311,2491,67.7,98.9,0.305,0.393,0.531,45.7,49.1,11.6,9.2,0.498,18.5,27.3,0.22,2015,1255
louisiana-lafayette,33,20,13,0.606,0.5,-4.07,2553,2293,71.5,107.3,0.39,0.317,0.548,54.6,53.3,9.3,9.8,0.513,17.2,35.8,0.273,2015,1418
